epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,853.738,1.11035,0.8476,1.0486,0.58808,0.69756,0.65659,0.37939,1.50339,1.16678,1.30434,0.0003764,0.0003764,0.0003764
84,864.011,1.07094,0.81145,1.00671,0.59406,0.69756,0.64085,0.3686,1.53999,1.22963,1.31995,0.0003566,0.0003566,0.0003566
85,874.253,1.06547,0.79844,1.00905,0.61015,0.66585,0.63235,0.35764,1.5502,1.19768,1.32322,0.0003368,0.0003368,0.0003368
86,884.514,1.11155,0.8403,1.0332,0.59161,0.6561,0.62988,0.36478,1.52229,1.19511,1.30808,0.000317,0.000317,0.000317
87,894.712,1.06735,0.84299,1.03416,0.60107,0.65366,0.6353,0.36862,1.53879,1.25026,1.31939,0.0002972,0.0002972,0.0002972
88,904.956,1.05671,0.82069,1.01181,0.61743,0.62683,0.63995,0.37745,1.51851,1.22509,1.30596,0.0002774,0.0002774,0.0002774
89,915.214,1.08668,0.82059,1.03274,0.58134,0.70783,0.64032,0.37293,1.49968,1.19789,1.29502,0.0002576,0.0002576,0.0002576
90,925.416,1.03858,0.77734,1.01377,0.59001,0.70976,0.64495,0.37299,1.48706,1.18609,1.29169,0.0002378,0.0002378,0.0002378
91,935.355,1.01116,0.77765,1.02062,0.59312,0.67805,0.6423,0.37122,1.49605,1.1773,1.29926,0.000218,0.000218,0.000218
92,945.303,0.98847,0.73464,1.02279,0.61378,0.67317,0.64231,0.36984,1.50239,1.19543,1.30049,0.0001982,0.0001982,0.0001982
93,955.404,1.02066,0.79243,1.05716,0.59519,0.6878,0.63174,0.35943,1.5375,1.20129,1.31199,0.0001784,0.0001784,0.0001784
94,965.344,0.9758,0.74073,1.01372,0.61531,0.69831,0.64247,0.36809,1.52289,1.17831,1.30834,0.0001586,0.0001586,0.0001586
95,975.28,0.97272,0.72422,1.01439,0.60713,0.68975,0.64181,0.37416,1.51793,1.18935,1.3067,0.0001388,0.0001388,0.0001388
96,985.232,0.97362,0.79755,1.01143,0.62347,0.63659,0.64035,0.37878,1.5124,1.19872,1.31032,0.000119,0.000119,0.000119
97,995.128,0.9268,0.68826,1.00125,0.64469,0.62195,0.64268,0.3782,1.50983,1.22031,1.31228,9.92e-05,9.92e-05,9.92e-05
98,1005.92,0.95585,0.73091,1.00774,0.6305,0.65122,0.6496,0.3789,1.51843,1.21596,1.31372,7.94e-05,7.94e-05,7.94e-05
99,1015.95,0.98162,0.7213,1.02856,0.63365,0.65122,0.64829,0.37694,1.52386,1.21105,1.3201,5.96e-05,5.96e-05,5.96e-05
100,1025.87,0.96217,0.71121,1.01472,0.65719,0.63659,0.64733,0.37676,1.52521,1.21121,1.32536,3.98e-05,3.98e-05,3.98e-05
